"coffee"|"company"|"rating"|"city"|"state"|"origin"|"origin_country"|"region"|"roast"|"description"
"Kenya AA"|"GreenAlives"|"95"|"New Taipei City"|"Taiwan"|"Central Kenya"|"Kenya"|"Africa"|"Medium-Light"|"Big, brightly sweet, intense. Complex fruit – red currant, peach, orange – honeysuckle, musk, sandalwood in aroma and cup. Richly tart acidity; full, plush mouthfeel. Long, sweet-toned, resonantly flavor-saturated finish."
"Ethiopia Suke Quto Organic"|"Paradise Roasters"|"95"|"Ramsey"|"Minnesota"|"Guji Zone, Oromia Region, Sidamo growing region, south-central Ethiopia"|"Ethiopia"|"Africa"|"Medium"|"Intricate, exhilarating; crisp yet juicy. Honey, roasted cacao nib, tangerine, sandalwood and very complex flowers, particularly rose and jasmine, in aroma and cup. Juicy, gently tart acidity; plush mouthfeel. Flavor consolidates but persists in a long, sweet, resonant finish."
"S.O. Espresso Costa Rica Chayote"|"Paradise Roasters"|"93"|"Ramsey"|"Minnesota"|"Los Robles de Naranjo, West Valley growing region, Costa Rica"|"Costa_Rica"|"CentralAmerica_Mexico"|"Medium"|"Evaluated as espresso. Sweet, pungent but balanced. Buttery dark chocolate, candied blood orange, apricot, deep-toned narcissus-like flowers. Full, fudgy mouthfeel; chocolate and a hint of flowers carry into a richly drying finish. Blooms nicely in three parts milk, which sweetens and softens the chocolate without dampening the fine fruit and floral complication."
"Sumatra Lake Tawar"|"GreenAlives"|"91"|"New Taipei City"|"Taiwan"|"Aceh growing region, northwestern Sumatra, Indonesia"|"Indonesia"|"Asia_Indonesia"|"Medium-Dark"|"Round, layered, deeply pungent. Fudgy chocolate, moist tobacco, vanilla, cedar in aroma and cup. Backgrounded, roast-rounded acidity; lightly syrupy mouthfeel. Resonant, richly drying finish."
"Esmeralda Leon Natural Geisha"|"Bird Rock Coffee Roasters"|"96"|"La Jolla"|"California"|"Cañas Verdes, Boquete growing region, western Panama"|"Panama"|"CentralAmerica_Mexico"|"Light"|"Profoundly intricate yet balanced, complete. Roasted cacao nib, saffron, jasmine, candied mango, blood orange in aroma and cup. Delicately rich, balanced acidity; silky mouthfeel. Jasmine and saffron in particular carry into a long, resonant finish."
"Thai Single-Origin Espresso Blend (A4+A5)"|"Bluekoff Company"|"92"|"Bangkok"|"Thailand"|"Chiang Rai Province, northern Thailand"|"Thailand"|"Asia_Indonesia"|"Medium-Dark"|"Evaluated as espresso. Smooth, balanced. Caramel, roasted cacao-nib, honeysuckle-like flowers, apricot, star anise in aroma and small cup. Smooth, lightly syrupy mouthfeel; quiet, very sweet finish. In three parts milk a gently caramelly chocolate dominates, with hints of star anise and apricot."
"Natural Process Thailand Espresso"|"Bluekoff Company"|"91"|"Bangkok"|"Thailand"|"Chiang Rai Province, northern Thailand"|"Thailand"|"Asia_Indonesia"|"Medium"|"Evaluated as espresso. Rich, round, balanced; quietly chocolate- and fruit-toned. Cherry, blood orange, dark chocolate, fresh-cut cedar, lily-like flowers in aroma and small cup. Silky, lively mouthfeel; distinct chocolate carries into a rich though drying finish. A crisply dry, minty chocolate dominates in three parts milk."
"Natural Process Thailand Coffee"|"Bluekoff Company"|"90"|"Bangkok"|"Thailand"|"Chiang Rai Province, northern Thailand"|"Thailand"|"Asia_Indonesia"|"Light"|"Sweet, rich, slightly earthy. Brown sugar, orangy citrus, fresh-cut cedar, bakers’ chocolate, a hint of fresh, humus-like earth in aroma and cup. Round, gently lively acidity; very lightly syrupy mouthfeel. Flavor consolidates in a rather short finish."
"Shilcho Ethiopia, Red Cherry Initiative"|"Cafe Virtuoso"|"94"|"San Diego"|"California"|"Sidamo (also Sidama) growing region, southern Ethiopia"|"Ethiopia"|"Africa"|"Medium"|"Juicy but brisk, intricate. Honey, orange, mango, lilac-like flowers, roasted cacao nib in aroma and cup. Rich acidity; smoothly satiny, lively mouthfeel. Flowers and cacao nib in particular saturate a deep, crisply bittersweet finish."
"Kenya AB Kiruga"|"CQ Coffee Roasters"|"93"|"Bedford"|"New Hampshire"|"South-central Kenya"|"Kenya"|"Africa"|"Medium-Light"|"Sweetly pungent, delicately complex. Honey, tangerine, apricot, lilac in aroma and cup. Gently tart, almost effervescent acidity; very light but silky mouthfeel. Flavor consolidates in a sweetly resonant, richly drying finish."
